task1
29
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 2)     18.095     0.000     9.069    27.120
 (0 - 3)      6.309     0.326    -2.716    15.334
 (0 - 4)     18.779     0.000     9.754    27.804
 (0 - 5)     18.753     0.000     9.728    27.778
 (0 - 6)     20.375     0.000    11.349    29.400
 (0 - 7)     20.972     0.000    11.947    29.997
 (1 - 0)    -18.833     0.000   -27.858    -9.807
 (1 - 2)     -0.738     1.000    -9.763     8.287
 (1 - 3)    -12.524     0.003   -21.549    -3.498
 (1 - 4)     -0.053     1.000    -9.079     8.972
 (1 - 5)     -0.080     1.000    -9.105     8.946
 (1 - 6)      1.542     0.999    -7.483    10.567
 (1 - 7)      2.140     0.992    -6.886    11.165
 (2 - 0)    -18.095     0.000   -27.120    -9.069
 (2 - 1)      0.738     1.000    -8.287     9.763
 (2 - 3)    -11.786     0.005   -20.811    -2.760
 (2 - 4)      0.685     1.000    -8.341     9.710
 (2 - 5)      0.658     1.000    -8.367     9.684
 (2 - 6)      2.280     0.989    -6.745    11.305
 (2 - 7)      2.878     0.960    -6.148    11.903
 (3 - 0)     -6.309     0.326   -15.334     2.716
 (3 - 1)     12.524     0.003     3.498    21.549
 (3 - 2)     11.786     0.005     2.760    20.811
 (3 - 4)     12.470     0.003     3.445    21.495
 (3 - 5)     12.444     0.003     3.419    21.469
 (3 - 6)     14.066     0.001     5.040    23.091
 (3 - 7)     14.663     0.000     5.638    23.688
 (4 - 0)    -18.779     0.000   -27.804    -9.754
 (4 - 1)      0.053     1.000    -8.972     9.079
 (4 - 2)     -0.685     1.000    -9.710     8.341
 (4 - 3)    -12.470     0.003   -21.495    -3.445
 (4 - 5)     -0.026     1.000    -9.052     8.999
 (4 - 6)      1.595     0.999    -7.430    10.621
 (4 - 7)      2.193     0.991    -6.832    11.218
 (5 - 0)    -18.753     0.000   -27.778    -9.728
 (5 - 1)      0.080     1.000    -8.946     9.105
 (5 - 2)     -0.658     1.000    -9.684     8.367
 (5 - 3)    -12.444     0.003   -21.469    -3.419
 (5 - 4)      0.026     1.000    -8.999     9.052
 (5 - 6)      1.622     0.999    -7.404    10.647
 (5 - 7)      2.219     0.991    -6.806    11.245
 (6 - 0)    -20.375     0.000   -29.400   -11.349
 (6 - 1)     -1.542     0.999   -10.567     7.483
 (6 - 2)     -2.280     0.989   -11.305     6.745
 (6 - 3)    -14.066     0.001   -23.091    -5.040
 (6 - 4)     -1.595     0.999   -10.621     7.430
 (6 - 5)     -1.622     0.999   -10.647     7.404
 (6 - 7)      0.598     1.000    -8.428     9.623
 (7 - 0)    -20.972     0.000   -29.997   -11.947
 (7 - 1)     -2.140     0.992   -11.165     6.886
 (7 - 2)     -2.878     0.960   -11.903     6.148
 (7 - 3)    -14.663     0.000   -23.688    -5.638
 (7 - 4)     -2.193     0.991   -11.218     6.832
 (7 - 5)     -2.219     0.991   -11.245     6.806
 (7 - 6)     -0.598     1.000    -9.623     8.428

task2
29
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)     -6.708     0.700   -19.941     6.525
 (0 - 2)      1.177     1.000   -12.056    14.410
