task1
29
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (6 - 3)    -18.612     0.574   -51.350    14.126
 (6 - 4)     -0.544     1.000   -33.282    32.194
 (6 - 5)     -0.508     1.000   -33.245    32.230
 (6 - 7)      0.597     1.000   -32.141    33.335
 (7 - 0)     -6.029     0.998   -38.766    26.709
 (7 - 1)     -4.534     1.000   -37.271    28.204
 (7 - 2)     -1.274     1.000   -34.012    31.463
 (7 - 3)    -19.209     0.537   -51.947    13.528
 (7 - 4)     -1.141     1.000   -33.879    31.597
 (7 - 5)     -1.105     1.000   -33.842    31.633
 (7 - 6)     -0.597     1.000   -33.335    32.141

task3
199
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)      1.156     1.000   -40.410    42.722
 (0 - 2)      1.768     1.000   -39.798    43.334
 (0 - 3)    -14.920     0.927   -56.486    26.646
 (0 - 4)      2.727     1.000   -38.839    44.293
 (0 - 5)      4.384     1.000   -37.182    45.950
 (0 - 6)      3.919     1.000   -37.647    45.485
 (0 - 7)      5.388     1.000   -36.178    46.954
 (1 - 0)     -1.156     1.000   -42.722    40.410
 (1 - 2)      0.612     1.000   -40.954    42.178
 (1 - 3)    -16.076     0.897   -57.642    25.490
 (1 - 4)      1.571     1.000   -39.995    43.137
 (1 - 5)      3.228     1.000   -38.338    44.794
 (1 - 6)      2.763     1.000   -38.803    44.329
 (1 - 7)      4.232     1.000   -37.334    45.798
 (2 - 0)     -1.768     1.000   -43.334    39.798
 (2 - 1)     -0.612     1.000   -42.178    40.954
 (2 - 3)    -16.688     0.878   -58.254    24.878
 (2 - 4)      0.959     1.000   -40.607    42.525
 (2 - 5)      2.616     1.000   -38.950    44.182
 (2 - 6)      2.151     1.000   -39.415    43.717
 (2 - 7)      3.620     1.000   -37.946    45.186
 (3 - 0)     14.920     0.927   -26.646    56.486
 (3 - 1)     16.076     0.897   -25.490    57.642
 (3 - 2)     16.688     0.878   -24.878    58.254
 (3 - 4)     17.648     0.846   -23.918    59.214
 (3 - 5)     19.304     0.780   -22.262    60.870
 (3 - 6)     18.839     0.799   -22.727    60.405
 (3 - 7)     20.309     0.735   -21.258    61.875
 (4 - 0)     -2.727     1.000   -44.293    38.839
 (4 - 1)     -1.571     1.000   -43.137    39.995
 (4 - 2)     -0.959     1.000   -42.525    40.607
 (4 - 3)    -17.648     0.846   -59.214    23.918
 (4 - 5)      1.657     1.000   -39.909    43.223
 (4 - 6)      1.192     1.000   -40.374    42.758
 (4 - 7)      2.661     1.000   -38.905    44.227
 (5 - 0)     -4.384     1.000   -45.950    37.182
 (5 - 1)     -3.228     1.000   -44.794    38.338
 (5 - 2)     -2.616     1.000   -44.182    38.950
 (5 - 3)    -19.304     0.780   -60.870    22.262
 (5 - 4)     -1.657     1.000   -43.223    39.909
 (5 - 6)     -0.465     1.000   -42.031    41.101
 (5 - 7)      1.004     1.000   -40.562    42.570
 (6 - 0)     -3.919     1.000   -45.485    37.647
 (6 - 1)     -2.763     1.000   -44.329    38.803
 (6 - 2)     -2.151     1.000   -43.717    39.415
 (6 - 3)    -18.839     0.799   -60.405    22.727
 (6 - 4)     -1.192     1.000   -42.758    40.374
 (6 - 5)      0.465     1.000   -41.101    42.031
 (6 - 7)      1.469     1.000   -40.097    43.035
 (7 - 0)     -5.388     1.000   -46.954    36.178
 (7 - 1)     -4.232     1.000   -45.798    37.334
 (7 - 2)     -3.620     1.000   -45.186    37.946
 (7 - 3)    -20.309     0.735   -61.875    21.258
 (7 - 4)     -2.661     1.000   -44.227    38.905
 (7 - 5)     -1.004     1.000   -42.570    40.562
 (7 - 6)     -1.469     1.000   -43.035    40.097

task3
244
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)     14.301     0.727   -14.719    43.321
 (0 - 2)     14.692     0.701   -14.329    43.712
 (0 - 3)     -7.545     0.987   -36.565    21.476
 (0 - 4)     18.178     0.457   -10.842    47.198
 (0 - 5)     18.703     0.423   -10.317    47.724
 (0 - 6)     19.484     0.373    -9.536    48.504
 (0 - 7)     19.828     0.353    -9.192    48.848
 (1 - 0)    -14.301     0.727   -43.321    14.719
 (1 - 2)      0.391     1.000   -28.630    29.411
 (1 - 3)    -21.845     0.245   -50.866     7.175
 (1 - 4)      3.877     1.000   -25.143    32.897
 (1 - 5)      4.402     1.000   -24.618    33.423
 (1 - 6)      5.183     0.999   -23.837    34.204
 (1 - 7)      5.527     0.998   -23.493    34.548
 (2 - 0)    -14.692     0.701   -43.712    14.329
 (2 - 1)     -0.391     1.000   -29.411    28.630
 (2 - 3)    -22.236     0.227   -51.256     6.784
 (2 - 4)      3.486     1.000   -25.534    32.506
 (2 - 5)      4.012     1.000   -25.009    33.032
 (2 - 6)      4.792     0.999   -24.228    33.813
 (2 - 7)      5.137     0.999   -23.884    34.157
 (3 - 0)      7.545     0.987   -21.476    36.565
 (3 - 1)     21.845     0.245    -7.175    50.866
 (3 - 2)     22.236     0.227    -6.784    51.256
 (3 - 4)     25.722     0.109    -3.298    54.743
 (3 - 5)     26.248     0.097    -2.772    55.268
 (3 - 6)     27.029     0.081    -1.992    56.049
 (3 - 7)     27.373     0.074    -1.648    56.393
 (4 - 0)    -18.178     0.457   -47.198    10.842
 (4 - 1)     -3.877     1.000   -32.897    25.143
 (4 - 2)     -3.486     1.000   -32.506    25.534
 (4 - 3)    -25.722     0.109   -54.743     3.298
 (4 - 5)      0.526     1.000   -28.495    29.546
 (4 - 6)      1.306     1.000   -27.714    30.327
 (4 - 7)      1.650     1.000   -27.370    30.671
 (5 - 0)    -18.703     0.423   -47.724    10.317
 (5 - 1)     -4.402     1.000   -33.423    24.618
 (5 - 2)     -4.012     1.000   -33.032    25.009
 (5 - 3)    -26.248     0.097   -55.268     2.772
 (5 - 4)     -0.526     1.000   -29.546    28.495
 (5 - 6)      0.781     1.000   -28.240    29.801
 (5 - 7)      1.125     1.000   -27.896    30.145
 (6 - 0)    -19.484     0.373   -48.504     9.536
 (6 - 1)     -5.183     0.999   -34.204    23.837
 (6 - 2)     -4.792     0.999   -33.813    24.228
 (6 - 3)    -27.029     0.081   -56.049     1.992
 (6 - 4)     -1.306     1.000   -30.327    27.714
 (6 - 5)     -0.781     1.000   -29.801    28.240
 (6 - 7)      0.344     1.000   -28.676    29.364
 (7 - 0)    -19.828     0.353   -48.848     9.192
 (7 - 1)     -5.527     0.998   -34.548    23.493
 (7 - 2)     -5.137     0.999   -34.157    23.884
 (7 - 3)    -27.373     0.074   -56.393     1.648
 (7 - 4)     -1.650     1.000   -30.671    27.370
 (7 - 5)     -1.125     1.000   -30.145    27.896
 (7 - 6)     -0.344     1.000   -29.364    28.676

task4
29
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)     -4.647     0.244   -10.814     1.519
 (0 - 2)      0.003     1.000    -6.164     6.169
 (0 - 3)     -9.918     0.000   -16.084    -3.752
 (0 - 4)     -0.481     1.000    -6.648     5.685
 (0 - 5)      0.045     1.000    -6.122     6.211
 (0 - 6)      0.219     1.000    -5.947     6.386
 (0 - 7)      0.453     1.000    -5.713     6.620
 (1 - 0)      4.647     0.244    -1.519    10.814
 (1 - 2)      4.650     0.243    -1.516    10.816
 (1 - 3)     -5.271     0.134   -11.437     0.896
 (1 - 4)      4.166     0.366    -2.000    10.332
 (1 - 5)      4.692     0.234    -1.475    10.858
 (1 - 6)      4.867     0.199    -1.300    11.033
 (1 - 7)      5.100     0.159    -1.066    11.267
 (2 - 0)     -0.003     1.000    -6.169     6.164
 (2 - 1)     -4.650     0.243   -10.816     1.516
 (2 - 3)     -9.921     0.000   -16.087    -3.754
 (2 - 4)     -0.484     1.000    -6.650     5.682
 (2 - 5)      0.042     1.000    -6.125     6.208
 (2 - 6)      0.217     1.000    -5.950     6.383
 (2 - 7)      0.450     1.000    -5.716     6.617
 (3 - 0)      9.918     0.000     3.752    16.084
 (3 - 1)      5.271     0.134    -0.896    11.437
 (3 - 2)      9.921     0.000     3.754    16.087
 (3 - 4)      9.437     0.001     3.270    15.603
 (3 - 5)      9.962     0.000     3.796    16.129
 (3 - 6)     10.137     0.000     3.971    16.304
 (3 - 7)     10.371     0.000     4.205    16.537
 (4 - 0)      0.481     1.000    -5.685     6.648
 (4 - 1)     -4.166     0.366   -10.332     2.000
 (4 - 2)      0.484     1.000    -5.682     6.650
 (4 - 3)     -9.437     0.001   -15.603    -3.270
 (4 - 5)      0.526     1.000    -5.640     6.692
 (4 - 6)      0.701     1.000    -5.466     6.867
 (4 - 7)      0.934     1.000    -5.232     7.101
 (5 - 0)     -0.045     1.000    -6.211     6.122
 (5 - 1)     -4.692     0.234   -10.858     1.475
 (5 - 2)     -0.042     1.000    -6.208     6.125
 (5 - 3)     -9.962     0.000   -16.129    -3.796
 (5 - 4)     -0.526     1.000    -6.692     5.640
 (5 - 6)      0.175     1.000    -5.992     6.341
 (5 - 7)      0.409     1.000    -5.758     6.575
 (6 - 0)     -0.219     1.000    -6.386     5.947
 (6 - 1)     -4.867     0.199   -11.033     1.300
 (6 - 2)     -0.217     1.000    -6.383     5.950
 (6 - 3)    -10.137     0.000   -16.304    -3.971
 (6 - 4)     -0.701     1.000    -6.867     5.466
 (6 - 5)     -0.175     1.000    -6.341     5.992
 (6 - 7)      0.234     1.000    -5.933     6.400
 (7 - 0)     -0.453     1.000    -6.620     5.713
 (7 - 1)     -5.100     0.159   -11.267     1.066
 (7 - 2)     -0.450     1.000    -6.617     5.716
 (7 - 3)    -10.371     0.000   -16.537    -4.205
 (7 - 4)     -0.934     1.000    -7.101     5.232
 (7 - 5)     -0.409     1.000    -6.575     5.758
 (7 - 6)     -0.234     1.000    -6.400     5.933

task4
59
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)      2.287     0.999   -11.268    15.841
 (0 - 2)      3.358     0.990   -10.197    16.912
 (0 - 3)     -7.694     0.576   -21.248     5.861
 (0 - 4)      3.679     0.983    -9.876    17.233
 (0 - 5)      3.839     0.979    -9.715    17.394
 (0 - 6)      4.074     0.971    -9.481    17.629
 (0 - 7)      4.217     0.965    -9.337    17.772
 (1 - 0)     -2.287     0.999   -15.841    11.268
 (1 - 2)      1.071     1.000   -12.484    14.626
 (1 - 3)     -9.980     0.268   -23.535     3.575
 (1 - 4)      1.392     1.000   -12.163    14.947
 (1 - 5)      1.553     1.000   -12.002    15.107
 (1 - 6)      1.788     1.000   -11.767    15.342
 (1 - 7)      1.931     1.000   -11.624    15.485
 (2 - 0)     -3.358     0.990   -16.912    10.197
 (2 - 1)     -1.071     1.000   -14.626    12.484
 (2 - 3)    -11.051     0.171   -24.606     2.504
 (2 - 4)      0.321     1.000   -13.234    13.876
 (2 - 5)      0.482     1.000   -13.073    14.036
 (2 - 6)      0.717     1.000   -12.838    14.271
 (2 - 7)      0.860     1.000   -12.695    14.414
 (3 - 0)      7.694     0.576    -5.861    21.248
 (3 - 1)      9.980     0.268    -3.575    23.535
 (3 - 2)     11.051     0.171    -2.504    24.606
 (3 - 4)     11.372     0.148    -2.183    24.927
 (3 - 5)     11.533     0.137    -2.022    25.088
 (3 - 6)     11.768     0.123    -1.787    25.322
 (3 - 7)     11.911     0.115    -1.644    25.466
 (4 - 0)     -3.679     0.983   -17.233     9.876
 (4 - 1)     -1.392     1.000   -14.947    12.163
 (4 - 2)     -0.321     1.000   -13.876    13.234
 (4 - 3)    -11.372     0.148   -24.927     2.183
 (4 - 5)      0.161     1.000   -13.394    13.715
 (4 - 6)      0.395     1.000   -13.159    13.950
 (4 - 7)      0.539     1.000   -13.016    14.093
 (5 - 0)     -3.839     0.979   -17.394     9.715
 (5 - 1)     -1.553     1.000   -15.107    12.002
 (5 - 2)     -0.482     1.000   -14.036    13.073
 (5 - 3)    -11.533     0.137   -25.088     2.022
 (5 - 4)     -0.161     1.000   -13.715    13.394
 (5 - 6)      0.235     1.000   -13.320    13.790
 (5 - 7)      0.378     1.000   -13.177    13.933
 (6 - 0)     -4.074     0.971   -17.629     9.481
 (6 - 1)     -1.788     1.000   -15.342    11.767
 (6 - 2)     -0.717     1.000   -14.271    12.838
 (6 - 3)    -11.768     0.123   -25.322     1.787
 (6 - 4)     -0.395     1.000   -13.950    13.159
 (6 - 5)     -0.235     1.000   -13.790    13.320
 (6 - 7)      0.143     1.000   -13.412    13.698
 (7 - 0)     -4.217     0.965   -17.772     9.337
 (7 - 1)     -1.931     1.000   -15.485    11.624
 (7 - 2)     -0.860     1.000   -14.414    12.695
 (7 - 3)    -11.911     0.115   -25.466     1.644
 (7 - 4)     -0.539     1.000   -14.093    13.016
 (7 - 5)     -0.378     1.000   -13.933    13.177
 (7 - 6)     -0.143     1.000   -13.698    13.412

task4
119
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)     14.187     0.000     5.892    22.483
 (0 - 2)      8.895     0.030     0.599    17.190
 (0 - 3)     -5.166     0.464   -13.462     3.129
 (0 - 4)      9.561     0.016     1.266    17.857
 (0 - 5)      8.735     0.034     0.440    17.030
 (0 - 6)     10.408     0.007     2.112    18.703
 (0 - 7)     10.123     0.010     1.827    18.418
 (1 - 0)    -14.187     0.000   -22.483    -5.892
 (1 - 2)     -5.293     0.435   -13.588     3.003
 (1 - 3)    -19.353     0.000   -27.649   -11.058
 (1 - 4)     -4.626     0.597   -12.921     3.669
 (1 - 5)     -5.452     0.399   -13.748     2.843
 (1 - 6)     -3.780     0.795   -12.075     4.516
 (1 - 7)     -4.065     0.733   -12.360     4.231
 (2 - 0)     -8.895     0.030   -17.190    -0.599
 (2 - 1)      5.293     0.435    -3.003    13.588
 (2 - 3)    -14.061     0.000   -22.356    -5.765
 (2 - 4)      0.667     1.000    -7.629     8.962
 (2 - 5)     -0.160     1.000    -8.455     8.136
 (2 - 6)      1.513     0.998    -6.782     9.808
 (2 - 7)      1.228     1.000    -7.068     9.523
 (3 - 0)      5.166     0.464    -3.129    13.462
 (3 - 1)     19.353     0.000    11.058    27.649
 (3 - 2)     14.061     0.000     5.765    22.356
 (3 - 4)     14.727     0.000     6.432    23.023
 (3 - 5)     13.901     0.000     5.606    22.197
 (3 - 6)     15.574     0.000     7.278    23.869
 (3 - 7)     15.289     0.000     6.993    23.584
 (4 - 0)     -9.561     0.016   -17.857    -1.266
 (4 - 1)      4.626     0.597    -3.669    12.921
 (4 - 2)     -0.667     1.000    -8.962     7.629
 (4 - 3)    -14.727     0.000   -23.023    -6.432
 (4 - 5)     -0.826     1.000    -9.122     7.469
 (4 - 6)      0.846     1.000    -7.449     9.142
 (4 - 7)      0.561     1.000    -7.734     8.857
 (5 - 0)     -8.735     0.034   -17.030    -0.440
 (5 - 1)      5.452     0.399    -2.843    13.748
 (5 - 2)      0.160     1.000    -8.136     8.455
 (5 - 3)    -13.901     0.000   -22.197    -5.606
 (5 - 4)      0.826     1.000    -7.469     9.122
 (5 - 6)      1.673     0.997    -6.623     9.968
 (5 - 7)      1.388     0.999    -6.908     9.683
 (6 - 0)    -10.408     0.007   -18.703    -2.112
 (6 - 1)      3.780     0.795    -4.516    12.075
 (6 - 2)     -1.513     0.998    -9.808     6.782
 (6 - 3)    -15.574     0.000   -23.869    -7.278
 (6 - 4)     -0.846     1.000    -9.142     7.449
 (6 - 5)     -1.673     0.997    -9.968     6.623
 (6 - 7)     -0.285     1.000    -8.581     8.010
 (7 - 0)    -10.123     0.010   -18.418    -1.827
 (7 - 1)      4.065     0.733    -4.231    12.360
 (7 - 2)     -1.228     1.000    -9.523     7.068
 (7 - 3)    -15.289     0.000   -23.584    -6.993
 (7 - 4)     -0.561     1.000    -8.857     7.734
 (7 - 5)     -1.388     0.999    -9.683     6.908
 (7 - 6)      0.285     1.000    -8.010     8.581

task4
199
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)      6.152     0.820    -7.792    20.097
 (0 - 2)      6.074     0.829    -7.871    20.018
 (0 - 3)     -5.903     0.848   -19.848     8.041
 (0 - 4)      6.294     0.803    -7.650    20.239
 (0 - 5)      5.981     0.839    -7.963    19.926
 (0 - 6)      7.176     0.685    -6.769    21.120
 (0 - 7)      7.218     0.679    -6.727    21.162
 (1 - 0)     -6.152     0.820   -20.097     7.792
 (1 - 2)     -0.079     1.000   -14.023    13.866
 (1 - 3)    -12.055     0.126   -26.000     1.889
 (1 - 4)      0.142     1.000   -13.802    14.087
 (1 - 5)     -0.171     1.000   -14.115    13.774
 (1 - 6)      1.024     1.000   -12.921    14.968
 (1 - 7)      1.066     1.000   -12.879    15.010
 (2 - 0)     -6.074     0.829   -20.018     7.871
 (2 - 1)      0.079     1.000   -13.866    14.023
 (2 - 3)    -11.977     0.130   -25.921     1.967
 (2 - 4)      0.221     1.000   -13.724    14.165
 (2 - 5)     -0.092     1.000   -14.037    13.852
 (2 - 6)      1.102     1.000   -12.842    15.046
 (2 - 7)      1.144     1.000   -12.800    15.089
 (3 - 0)      5.903     0.848    -8.041    19.848
 (3 - 1)     12.055     0.126    -1.889    26.000
 (3 - 2)     11.977     0.130    -1.967    25.921
 (3 - 4)     12.198     0.118    -1.747    26.142
 (3 - 5)     11.885     0.136    -2.060    25.829
 (3 - 6)     13.079     0.077    -0.865    27.023
 (3 - 7)     13.121     0.076    -0.823    27.065
 (4 - 0)     -6.294     0.803   -20.239     7.650
 (4 - 1)     -0.142     1.000   -14.087    13.802
 (4 - 2)     -0.221     1.000   -14.165    13.724
 (4 - 3)    -12.198     0.118   -26.142     1.747
 (4 - 5)     -0.313     1.000   -14.257    13.631
 (4 - 6)      0.881     1.000   -13.063    14.826
 (4 - 7)      0.923     1.000   -13.021    14.868
 (5 - 0)     -5.981     0.839   -19.926     7.963
 (5 - 1)      0.171     1.000   -13.774    14.115
 (5 - 2)      0.092     1.000   -13.852    14.037
 (5 - 3)    -11.885     0.136   -25.829     2.060
 (5 - 4)      0.313     1.000   -13.631    14.257
 (5 - 6)      1.194     1.000   -12.750    15.139
 (5 - 7)      1.236     1.000   -12.708    15.181
 (6 - 0)     -7.176     0.685   -21.120     6.769
 (6 - 1)     -1.024     1.000   -14.968    12.921
 (6 - 2)     -1.102     1.000   -15.046    12.842
 (6 - 3)    -13.079     0.077   -27.023     0.865
 (6 - 4)     -0.881     1.000   -14.826    13.063
 (6 - 5)     -1.194     1.000   -15.139    12.750
 (6 - 7)      0.042     1.000   -13.902    13.987
 (7 - 0)     -7.218     0.679   -21.162     6.727
 (7 - 1)     -1.066     1.000   -15.010    12.879
 (7 - 2)     -1.144     1.000   -15.089    12.800
 (7 - 3)    -13.121     0.076   -27.065     0.823
 (7 - 4)     -0.923     1.000   -14.868    13.021
 (7 - 5)     -1.236     1.000   -15.181    12.708
 (7 - 6)     -0.042     1.000   -13.987    13.902

task4
244
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)      5.273     0.513    -3.540    14.086
 (0 - 2)      3.068     0.937    -5.745    11.881
 (0 - 3)     -7.886     0.103   -16.700     0.927
 (0 - 4)      3.013     0.943    -5.800    11.826
 (0 - 5)      3.602     0.869    -5.211    12.415
 (0 - 6)      4.016     0.795    -4.797    12.829
 (0 - 7)      4.730     0.640    -4.083    13.543
 (1 - 0)     -5.273     0.513   -14.086     3.540
 (1 - 2)     -2.204     0.990   -11.017     6.609
 (1 - 3)    -13.159     0.001   -21.972    -4.346
 (1 - 4)     -2.260     0.988   -11.073     6.553
 (1 - 5)     -1.670     0.998   -10.483     7.143
 (1 - 6)     -1.257     1.000   -10.070     7.556
 (1 - 7)     -0.542     1.000    -9.355     8.271
 (2 - 0)     -3.068     0.937   -11.881     5.745
 (2 - 1)      2.204     0.990    -6.609    11.017
 (2 - 3)    -10.955     0.008   -19.768    -2.142
 (2 - 4)     -0.056     1.000    -8.869     8.757
 (2 - 5)      0.534     1.000    -8.279     9.347
 (2 - 6)      0.947     1.000    -7.866     9.761
 (2 - 7)      1.662     0.998    -7.151    10.475
 (3 - 0)      7.886     0.103    -0.927    16.700
 (3 - 1)     13.159     0.001     4.346    21.972
 (3 - 2)     10.955     0.008     2.142    19.768
 (3 - 4)     10.899     0.008     2.086    19.712
 (3 - 5)     11.489     0.005     2.676    20.302
 (3 - 6)     11.902     0.003     3.089    20.715
 (3 - 7)     12.617     0.002     3.804    21.430
 (4 - 0)     -3.013     0.943   -11.826     5.800
 (4 - 1)      2.260     0.988    -6.553    11.073
 (4 - 2)      0.056     1.000    -8.757     8.869
 (4 - 3)    -10.899     0.008   -19.712    -2.086
 (4 - 5)      0.590     1.000    -8.223     9.403
 (4 - 6)      1.003     1.000    -7.810     9.816
 (4 - 7)      1.717     0.998    -7.096    10.530
 (5 - 0)     -3.602     0.869   -12.415     5.211
 (5 - 1)      1.670     0.998    -7.143    10.483
 (5 - 2)     -0.534     1.000    -9.347     8.279
 (5 - 3)    -11.489     0.005   -20.302    -2.676
 (5 - 4)     -0.590     1.000    -9.403     8.223
 (5 - 6)      0.413     1.000    -8.400     9.226
 (5 - 7)      1.128     1.000    -7.685     9.941
 (6 - 0)     -4.016     0.795   -12.829     4.797
 (6 - 1)      1.257     1.000    -7.556    10.070
 (6 - 2)     -0.947     1.000    -9.761     7.866
 (6 - 3)    -11.902     0.003   -20.715    -3.089
 (6 - 4)     -1.003     1.000    -9.816     7.810
 (6 - 5)     -0.413     1.000    -9.226     8.400
 (6 - 7)      0.714     1.000    -8.099     9.527
 (7 - 0)     -4.730     0.640   -13.543     4.083
 (7 - 1)      0.542     1.000    -8.271     9.355
 (7 - 2)     -1.662     0.998   -10.475     7.151
 (7 - 3)    -12.617     0.002   -21.430    -3.804
 (7 - 4)     -1.717     0.998   -10.530     7.096
 (7 - 5)     -1.128     1.000    -9.941     7.685
 (7 - 6)     -0.714     1.000    -9.527     8.099

task4
359
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)      7.103     0.561    -5.254    19.460
 (0 - 2)      7.128     0.557    -5.229    19.486
 (0 - 3)     -7.122     0.558   -19.479     5.235
 (0 - 4)      6.638     0.639    -5.719    18.996
 (0 - 5)      7.902     0.432    -4.455    20.260
 (0 - 6)      8.913     0.291    -3.444    21.271
 (0 - 7)      9.403     0.234    -2.955    21.760
 (1 - 0)     -7.103     0.561   -19.460     5.254
 (1 - 2)      0.025     1.000   -12.332    12.383
 (1 - 3)    -14.225     0.016   -26.582    -1.868
 (1 - 4)     -0.465     1.000   -12.822    11.893
 (1 - 5)      0.799     1.000   -11.558    13.156
 (1 - 6)      1.810     1.000   -10.547    14.168
 (1 - 7)      2.300     0.998   -10.058    14.657
 (2 - 0)     -7.128     0.557   -19.486     5.229
 (2 - 1)     -0.025     1.000   -12.383    12.332
 (2 - 3)    -14.250     0.016   -26.608    -1.893
 (2 - 4)     -0.490     1.000   -12.847    11.868
 (2 - 5)      0.774     1.000   -11.583    13.131
 (2 - 6)      1.785     1.000   -10.572    14.143
 (2 - 7)      2.275     0.998   -10.083    14.632
 (3 - 0)      7.122     0.558    -5.235    19.479
 (3 - 1)     14.225     0.016     1.868    26.582
 (3 - 2)     14.250     0.016     1.893    26.608
 (3 - 4)     13.760     0.022     1.403    26.118
 (3 - 5)     15.024     0.010     2.667    27.382
 (3 - 6)     16.035     0.005     3.678    28.393
 (3 - 7)     16.525     0.004     4.167    28.882
 (4 - 0)     -6.638     0.639   -18.996     5.719
 (4 - 1)      0.465     1.000   -11.893    12.822
 (4 - 2)      0.490     1.000   -11.868    12.847
 (4 - 3)    -13.760     0.022   -26.118    -1.403
 (4 - 5)      1.264     1.000   -11.094    13.621
 (4 - 6)      2.275     0.998   -10.082    14.632
 (4 - 7)      2.764     0.995    -9.593    15.122
 (5 - 0)     -7.902     0.432   -20.260     4.455
 (5 - 1)     -0.799     1.000   -13.156    11.558
 (5 - 2)     -0.774     1.000   -13.131    11.583
 (5 - 3)    -15.024     0.010   -27.382    -2.667
 (5 - 4)     -1.264     1.000   -13.621    11.094
 (5 - 6)      1.011     1.000   -11.346    13.369
 (5 - 7)      1.501     1.000   -10.857    13.858
 (6 - 0)     -8.913     0.291   -21.271     3.444
 (6 - 1)     -1.810     1.000   -14.168    10.547
 (6 - 2)     -1.785     1.000   -14.143    10.572
 (6 - 3)    -16.035     0.005   -28.393    -3.678
 (6 - 4)     -2.275     0.998   -14.632    10.082
 (6 - 5)     -1.011     1.000   -13.369    11.346
 (6 - 7)      0.489     1.000   -11.868    12.847
 (7 - 0)     -9.403     0.234   -21.760     2.955
 (7 - 1)     -2.300     0.998   -14.657    10.058
 (7 - 2)     -2.275     0.998   -14.632    10.083
 (7 - 3)    -16.525     0.004   -28.882    -4.167
 (7 - 4)     -2.764     0.995   -15.122     9.593
 (7 - 5)     -1.501     1.000   -13.858    10.857
 (7 - 6)     -0.489     1.000   -12.847    11.868

task4
404
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)      7.777     0.653    -6.888    22.443
 (0 - 2)      7.308     0.717    -7.358    21.973
 (0 - 3)     -7.062     0.749   -21.727     7.604
 (0 - 4)      6.996     0.757    -7.669    21.661
 (0 - 5)      7.654     0.670    -7.012    22.319
 (0 - 6)      8.799     0.510    -5.866    23.464
 (0 - 7)      9.240     0.450    -5.425    23.906
 (1 - 0)     -7.777     0.653   -22.443     6.888
 (1 - 2)     -0.470     1.000   -15.135    14.196
 (1 - 3)    -14.839     0.046   -29.504    -0.173
 (1 - 4)     -0.781     1.000   -15.447    13.884
 (1 - 5)     -0.124     1.000   -14.789    14.542
 (1 - 6)      1.022     1.000   -13.644    15.687
 (1 - 7)      1.463     1.000   -13.203    16.128
 (2 - 0)     -7.308     0.717   -21.973     7.358
 (2 - 1)      0.470     1.000   -14.196    15.135
 (2 - 3)    -14.369     0.058   -29.034     0.296
 (2 - 4)     -0.311     1.000   -14.977    14.354
 (2 - 5)      0.346     1.000   -14.319    15.012
 (2 - 6)      1.491     1.000   -13.174    16.157
 (2 - 7)      1.933     1.000   -12.733    16.598
 (3 - 0)      7.062     0.749    -7.604    21.727
 (3 - 1)     14.839     0.046     0.173    29.504
 (3 - 2)     14.369     0.058    -0.296    29.034
 (3 - 4)     14.058     0.067    -0.608    28.723
 (3 - 5)     14.715     0.049     0.050    29.381
 (3 - 6)     15.861     0.028     1.195    30.526
 (3 - 7)     16.302     0.022     1.636    30.967
 (4 - 0)     -6.996     0.757   -21.661     7.669
 (4 - 1)      0.781     1.000   -13.884    15.447
 (4 - 2)      0.311     1.000   -14.354    14.977
 (4 - 3)    -14.058     0.067   -28.723     0.608
 (4 - 5)      0.658     1.000   -14.008    15.323
 (4 - 6)      1.803     1.000   -12.863    16.468
 (4 - 7)      2.244     1.000   -12.421    16.910
 (5 - 0)     -7.654     0.670   -22.319     7.012
 (5 - 1)      0.124     1.000   -14.542    14.789
 (5 - 2)     -0.346     1.000   -15.012    14.319
 (5 - 3)    -14.715     0.049   -29.381    -0.050
 (5 - 4)     -0.658     1.000   -15.323    14.008
 (5 - 6)      1.145     1.000   -13.520    15.811
 (5 - 7)      1.587     1.000   -13.079    16.252
 (6 - 0)     -8.799     0.510   -23.464     5.866
 (6 - 1)     -1.022     1.000   -15.687    13.644
