0
49
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (7 - 2)     -4.922     0.000    -6.168    -3.676
 (7 - 3)    -14.935     0.000   -16.181   -13.689
 (7 - 4)     -0.883     0.384    -2.129     0.364
 (7 - 5)     -1.602     0.002    -2.848    -0.356
 (7 - 6)     -0.111     1.000    -1.358     1.135

2
249
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)      5.681     0.000     4.409     6.953
 (0 - 2)      8.455     0.000     7.183     9.727
 (0 - 3)     -3.322     0.000    -4.594    -2.050
 (0 - 4)     13.262     0.000    11.990    14.534
 (0 - 5)     12.263     0.000    10.991    13.535
 (0 - 6)     14.232     0.000    12.960    15.504
 (0 - 7)     14.374     0.000    13.102    15.646
 (1 - 0)     -5.681     0.000    -6.953    -4.409
 (1 - 2)      2.774     0.000     1.502     4.046
 (1 - 3)     -9.003     0.000   -10.275    -7.731
 (1 - 4)      7.581     0.000     6.309     8.853
 (1 - 5)      6.582     0.000     5.310     7.854
 (1 - 6)      8.551     0.000     7.279     9.823
 (1 - 7)      8.693     0.000     7.421     9.965
 (2 - 0)     -8.455     0.000    -9.727    -7.183
 (2 - 1)     -2.774     0.000    -4.046    -1.502
 (2 - 3)    -11.777     0.000   -13.049   -10.505
 (2 - 4)      4.807     0.000     3.535     6.079
 (2 - 5)      3.808     0.000     2.536     5.080
 (2 - 6)      5.777     0.000     4.505     7.049
 (2 - 7)      5.919     0.000     4.647     7.191
 (3 - 0)      3.322     0.000     2.050     4.594
 (3 - 1)      9.003     0.000     7.731    10.275
 (3 - 2)     11.777     0.000    10.505    13.049
 (3 - 4)     16.584     0.000    15.312    17.857
 (3 - 5)     15.585     0.000    14.313    16.857
 (3 - 6)     17.554     0.000    16.282    18.826
 (3 - 7)     17.696     0.000    16.424    18.968
 (4 - 0)    -13.262     0.000   -14.534   -11.990
 (4 - 1)     -7.581     0.000    -8.853    -6.309
 (4 - 2)     -4.807     0.000    -6.079    -3.535
 (4 - 3)    -16.584     0.000   -17.857   -15.312
 (4 - 5)     -0.999     0.251    -2.271     0.273
 (4 - 6)      0.970     0.287    -0.302     2.242
 (4 - 7)      1.112     0.139    -0.161     2.384
 (5 - 0)    -12.263     0.000   -13.535   -10.991
 (5 - 1)     -6.582     0.000    -7.854    -5.310
 (5 - 2)     -3.808     0.000    -5.080    -2.536
 (5 - 3)    -15.585     0.000   -16.857   -14.313
 (5 - 4)      0.999     0.251    -0.273     2.271
 (5 - 6)      1.969     0.000     0.697     3.241
 (5 - 7)      2.111     0.000     0.839     3.383
 (6 - 0)    -14.232     0.000   -15.504   -12.960
 (6 - 1)     -8.551     0.000    -9.823    -7.279
 (6 - 2)     -5.777     0.000    -7.049    -4.505
 (6 - 3)    -17.554     0.000   -18.826   -16.282
 (6 - 4)     -0.970     0.287    -2.242     0.302
 (6 - 5)     -1.969     0.000    -3.241    -0.697
 (6 - 7)      0.142     1.000    -1.130     1.414
 (7 - 0)    -14.374     0.000   -15.646   -13.102
 (7 - 1)     -8.693     0.000    -9.965    -7.421
 (7 - 2)     -5.919     0.000    -7.191    -4.647
 (7 - 3)    -17.696     0.000   -18.968   -16.424
 (7 - 4)     -1.112     0.139    -2.384     0.161
 (7 - 5)     -2.111     0.000    -3.383    -0.839
 (7 - 6)     -0.142     1.000    -1.414     1.130

2
499
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)     12.516     0.000    11.257    13.774
 (0 - 2)     13.653     0.000    12.394    14.911
 (0 - 3)     -1.541     0.005    -2.800    -0.283
 (0 - 4)     19.971     0.000    18.713    21.230
 (0 - 5)     18.767     0.000    17.509    20.026
 (0 - 6)     21.641     0.000    20.383    22.899
 (0 - 7)     21.990     0.000    20.732    23.248
 (1 - 0)    -12.516     0.000   -13.774   -11.257
 (1 - 2)      1.137     0.111    -0.121     2.395
 (1 - 3)    -14.057     0.000   -15.315   -12.799
 (1 - 4)      7.456     0.000     6.197     8.714
 (1 - 5)      6.252     0.000     4.993     7.510
 (1 - 6)      9.125     0.000     7.867    10.383
 (1 - 7)      9.474     0.000     8.216    10.733
 (2 - 0)    -13.653     0.000   -14.911   -12.394
 (2 - 1)     -1.137     0.111    -2.395     0.121
 (2 - 3)    -15.194     0.000   -16.452   -13.936
 (2 - 4)      6.319     0.000     5.061     7.577
 (2 - 5)      5.115     0.000     3.856     6.373
 (2 - 6)      7.988     0.000     6.730     9.246
 (2 - 7)      8.338     0.000     7.079     9.596
 (3 - 0)      1.541     0.005     0.283     2.800
 (3 - 1)     14.057     0.000    12.799    15.315
 (3 - 2)     15.194     0.000    13.936    16.452
 (3 - 4)     21.513     0.000    20.255    22.771
 (3 - 5)     20.309     0.000    19.051    21.567
 (3 - 6)     23.182     0.000    21.924    24.441
 (3 - 7)     23.532     0.000    22.273    24.790
 (4 - 0)    -19.971     0.000   -21.230   -18.713
 (4 - 1)     -7.456     0.000    -8.714    -6.197
 (4 - 2)     -6.319     0.000    -7.577    -5.061
 (4 - 3)    -21.513     0.000   -22.771   -20.255
 (4 - 5)     -1.204     0.072    -2.462     0.054
 (4 - 6)      1.669     0.002     0.411     2.928
 (4 - 7)      2.019     0.000     0.760     3.277
 (5 - 0)    -18.767     0.000   -20.026   -17.509
 (5 - 1)     -6.252     0.000    -7.510    -4.993
 (5 - 2)     -5.115     0.000    -6.373    -3.856
 (5 - 3)    -20.309     0.000   -21.567   -19.051
 (5 - 4)      1.204     0.072    -0.054     2.462
 (5 - 6)      2.873     0.000     1.615     4.132
 (5 - 7)      3.223     0.000     1.965     4.481
 (6 - 0)    -21.641     0.000   -22.899   -20.383
 (6 - 1)     -9.125     0.000   -10.383    -7.867
 (6 - 2)     -7.988     0.000    -9.246    -6.730
 (6 - 3)    -23.182     0.000   -24.441   -21.924
 (6 - 4)     -1.669     0.002    -2.928    -0.411
 (6 - 5)     -2.873     0.000    -4.132    -1.615
 (6 - 7)      0.349     0.991    -0.909     1.608
 (7 - 0)    -21.990     0.000   -23.248   -20.732
 (7 - 1)     -9.474     0.000   -10.733    -8.216
 (7 - 2)     -8.338     0.000    -9.596    -7.079
 (7 - 3)    -23.532     0.000   -24.790   -22.273
 (7 - 4)     -2.019     0.000    -3.277    -0.760
 (7 - 5)     -3.223     0.000    -4.481    -1.965
 (7 - 6)     -0.349     0.991    -1.608     0.909

2
749
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)     15.819     0.000    14.489    17.149
 (0 - 2)     16.158     0.000    14.828    17.488
 (0 - 3)     -1.378     0.036    -2.708    -0.048
 (0 - 4)     22.971     0.000    21.641    24.301
 (0 - 5)     22.021     0.000    20.691    23.351
 (0 - 6)     25.692     0.000    24.362    27.022
 (0 - 7)     26.153     0.000    24.823    27.484
 (1 - 0)    -15.819     0.000   -17.149   -14.489
 (1 - 2)      0.339     0.994    -0.991     1.669
 (1 - 3)    -17.197     0.000   -18.527   -15.867
 (1 - 4)      7.152     0.000     5.822     8.482
 (1 - 5)      6.202     0.000     4.872     7.532
 (1 - 6)      9.873     0.000     8.543    11.203
 (1 - 7)     10.335     0.000     9.004    11.665
 (2 - 0)    -16.158     0.000   -17.488   -14.828
 (2 - 1)     -0.339     0.994    -1.669     0.991
 (2 - 3)    -17.536     0.000   -18.866   -16.206
 (2 - 4)      6.813     0.000     5.483     8.143
 (2 - 5)      5.863     0.000     4.533     7.193
 (2 - 6)      9.534     0.000     8.204    10.864
 (2 - 7)      9.996     0.000     8.665    11.326
 (3 - 0)      1.378     0.036     0.048     2.708
 (3 - 1)     17.197     0.000    15.867    18.527
 (3 - 2)     17.536     0.000    16.206    18.866
 (3 - 4)     24.349     0.000    23.019    25.679
 (3 - 5)     23.399     0.000    22.069    24.729
 (3 - 6)     27.070     0.000    25.740    28.400
 (3 - 7)     27.532     0.000    26.201    28.862
 (4 - 0)    -22.971     0.000   -24.301   -21.641
 (4 - 1)     -7.152     0.000    -8.482    -5.822
 (4 - 2)     -6.813     0.000    -8.143    -5.483
 (4 - 3)    -24.349     0.000   -25.679   -23.019
 (4 - 5)     -0.949     0.374    -2.280     0.381
 (4 - 6)      2.721     0.000     1.391     4.052
 (4 - 7)      3.183     0.000     1.853     4.513
 (5 - 0)    -22.021     0.000   -23.351   -20.691
 (5 - 1)     -6.202     0.000    -7.532    -4.872
 (5 - 2)     -5.863     0.000    -7.193    -4.533
 (5 - 3)    -23.399     0.000   -24.729   -22.069
 (5 - 4)      0.949     0.374    -0.381     2.280
 (5 - 6)      3.671     0.000     2.341     5.001
 (5 - 7)      4.132     0.000     2.802     5.462
 (6 - 0)    -25.692     0.000   -27.022   -24.362
 (6 - 1)     -9.873     0.000   -11.203    -8.543
 (6 - 2)     -9.534     0.000   -10.864    -8.204
 (6 - 3)    -27.070     0.000   -28.400   -25.740
 (6 - 4)     -2.721     0.000    -4.052    -1.391
 (6 - 5)     -3.671     0.000    -5.001    -2.341
 (6 - 7)      0.461     0.966    -0.869     1.791
 (7 - 0)    -26.153     0.000   -27.484   -24.823
 (7 - 1)    -10.335     0.000   -11.665    -9.004
 (7 - 2)     -9.996     0.000   -11.326    -8.665
 (7 - 3)    -27.532     0.000   -28.862   -26.201
 (7 - 4)     -3.183     0.000    -4.513    -1.853
 (7 - 5)     -4.132     0.000    -5.462    -2.802
 (7 - 6)     -0.461     0.966    -1.791     0.869

3
49
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)    -13.308     0.000   -14.801   -11.816
 (0 - 2)      1.477     0.055    -0.015     2.970
 (0 - 3)    -12.795     0.000   -14.288   -11.303
 (0 - 4)      7.004     0.000     5.512     8.497
 (0 - 5)      6.254     0.000     4.761     7.746
 (0 - 6)      8.988     0.000     7.495    10.481
 (0 - 7)      9.390     0.000     7.897    10.882
 (1 - 0)     13.308     0.000    11.816    14.801
 (1 - 2)     14.786     0.000    13.293    16.278
 (1 - 3)      0.513     0.968    -0.980     2.006
 (1 - 4)     20.313     0.000    18.820    21.805
 (1 - 5)     19.562     0.000    18.069    21.055
 (1 - 6)     22.296     0.000    20.804    23.789
 (1 - 7)     22.698     0.000    21.205    24.191
 (2 - 0)     -1.477     0.055    -2.970     0.015
 (2 - 1)    -14.786     0.000   -16.278   -13.293
 (2 - 3)    -14.273     0.000   -15.765   -12.780
 (2 - 4)      5.527     0.000     4.034     7.020
 (2 - 5)      4.776     0.000     3.284     6.269
 (2 - 6)      7.511     0.000     6.018     9.003
 (2 - 7)      7.912     0.000     6.420     9.405
 (3 - 0)     12.795     0.000    11.303    14.288
 (3 - 1)     -0.513     0.968    -2.006     0.980
 (3 - 2)     14.273     0.000    12.780    15.765
 (3 - 4)     19.800     0.000    18.307    21.292
 (3 - 5)     19.049     0.000    17.556    20.542
 (3 - 6)     21.783     0.000    20.291    23.276
 (3 - 7)     22.185     0.000    20.692    23.678
 (4 - 0)     -7.004     0.000    -8.497    -5.512
 (4 - 1)    -20.313     0.000   -21.805   -18.820
 (4 - 2)     -5.527     0.000    -7.020    -4.034
 (4 - 3)    -19.800     0.000   -21.292   -18.307
 (4 - 5)     -0.751     0.794    -2.243     0.742
 (4 - 6)      1.984     0.001     0.491     3.476
 (4 - 7)      2.385     0.000     0.893     3.878
 (5 - 0)     -6.254     0.000    -7.746    -4.761
 (5 - 1)    -19.562     0.000   -21.055   -18.069
 (5 - 2)     -4.776     0.000    -6.269    -3.284
 (5 - 3)    -19.049     0.000   -20.542   -17.556
 (5 - 4)      0.751     0.794    -0.742     2.243
 (5 - 6)      2.734     0.000     1.242     4.227
 (5 - 7)      3.136     0.000     1.643     4.629
 (6 - 0)     -8.988     0.000   -10.481    -7.495
 (6 - 1)    -22.296     0.000   -23.789   -20.804
 (6 - 2)     -7.511     0.000    -9.003    -6.018
 (6 - 3)    -21.783     0.000   -23.276   -20.291
 (6 - 4)     -1.984     0.001    -3.476    -0.491
 (6 - 5)     -2.734     0.000    -4.227    -1.242
 (6 - 7)      0.402     0.992    -1.091     1.894
 (7 - 0)     -9.390     0.000   -10.882    -7.897
 (7 - 1)    -22.698     0.000   -24.191   -21.205
 (7 - 2)     -7.912     0.000    -9.405    -6.420
 (7 - 3)    -22.185     0.000   -23.678   -20.692
 (7 - 4)     -2.385     0.000    -3.878    -0.893
 (7 - 5)     -3.136     0.000    -4.629    -1.643
 (7 - 6)     -0.402     0.992    -1.894     1.091

3
149
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)     -2.634     0.000    -4.107    -1.161
 (0 - 2)      6.173     0.000     4.700     7.645
 (0 - 3)    -10.422     0.000   -11.894    -8.949
 (0 - 4)     12.318     0.000    10.845    13.791
 (0 - 5)     11.178     0.000     9.706    12.651
 (0 - 6)     13.784     0.000    12.312    15.257
 (0 - 7)     14.099     0.000    12.626    15.571
 (1 - 0)      2.634     0.000     1.161     4.107
 (1 - 2)      8.807     0.000     7.334    10.279
 (1 - 3)     -7.788     0.000    -9.260    -6.315
 (1 - 4)     14.952     0.000    13.480    16.425
 (1 - 5)     13.812     0.000    12.340    15.285
 (1 - 6)     16.418     0.000    14.946    17.891
 (1 - 7)     16.733     0.000    15.260    18.205
 (2 - 0)     -6.173     0.000    -7.645    -4.700
 (2 - 1)     -8.807     0.000   -10.279    -7.334
 (2 - 3)    -16.595     0.000   -18.067   -15.122
 (2 - 4)      6.145     0.000     4.673     7.618
 (2 - 5)      5.006     0.000     3.533     6.478
 (2 - 6)      7.611     0.000     6.139     9.084
 (2 - 7)      7.926     0.000     6.453     9.398
 (3 - 0)     10.422     0.000     8.949    11.894
 (3 - 1)      7.788     0.000     6.315     9.260
 (3 - 2)     16.595     0.000    15.122    18.067
 (3 - 4)     22.740     0.000    21.267    24.212
 (3 - 5)     21.600     0.000    20.128    23.073
 (3 - 6)     24.206     0.000    22.733    25.679
 (3 - 7)     24.520     0.000    23.048    25.993
 (4 - 0)    -12.318     0.000   -13.791   -10.845
 (4 - 1)    -14.952     0.000   -16.425   -13.480
 (4 - 2)     -6.145     0.000    -7.618    -4.673
 (4 - 3)    -22.740     0.000   -24.212   -21.267
 (4 - 5)     -1.140     0.269    -2.612     0.333
 (4 - 6)      1.466     0.052    -0.006     2.939
 (4 - 7)      1.781     0.006     0.308     3.253
 (5 - 0)    -11.178     0.000   -12.651    -9.706
 (5 - 1)    -13.812     0.000   -15.285   -12.340
 (5 - 2)     -5.006     0.000    -6.478    -3.533
 (5 - 3)    -21.600     0.000   -23.073   -20.128
 (5 - 4)      1.140     0.269    -0.333     2.612
 (5 - 6)      2.606     0.000     1.133     4.079
 (5 - 7)      2.920     0.000     1.448     4.393
 (6 - 0)    -13.784     0.000   -15.257   -12.312
 (6 - 1)    -16.418     0.000   -17.891   -14.946
 (6 - 2)     -7.611     0.000    -9.084    -6.139
 (6 - 3)    -24.206     0.000   -25.679   -22.733
 (6 - 4)     -1.466     0.052    -2.939     0.006
 (6 - 5)     -2.606     0.000    -4.079    -1.133
 (6 - 7)      0.314     0.998    -1.158     1.787
 (7 - 0)    -14.099     0.000   -15.571   -12.626
 (7 - 1)    -16.733     0.000   -18.205   -15.260
 (7 - 2)     -7.926     0.000    -9.398    -6.453
 (7 - 3)    -24.520     0.000   -25.993   -23.048
 (7 - 4)     -1.781     0.006    -3.253    -0.308
 (7 - 5)     -2.920     0.000    -4.393    -1.448
 (7 - 6)     -0.314     0.998    -1.787     1.158

3
249
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)      2.911     0.000     1.423     4.399
 (0 - 2)      9.132     0.000     7.643    10.620
 (0 - 3)     -9.210     0.000   -10.698    -7.722
 (0 - 4)     15.977     0.000    14.489    17.465
 (0 - 5)     14.637     0.000    13.149    16.125
 (0 - 6)     17.558     0.000    16.070    19.046
 (0 - 7)     17.890     0.000    16.402    19.378
 (1 - 0)     -2.911     0.000    -4.399    -1.423
 (1 - 2)      6.220     0.000     4.732     7.708
 (1 - 3)    -12.121     0.000   -13.609   -10.633
 (1 - 4)     13.066     0.000    11.578    14.554
 (1 - 5)     11.726     0.000    10.238    13.214
 (1 - 6)     14.647     0.000    13.159    16.135
 (1 - 7)     14.979     0.000    13.490    16.467
 (2 - 0)     -9.132     0.000   -10.620    -7.643
 (2 - 1)     -6.220     0.000    -7.708    -4.732
 (2 - 3)    -18.341     0.000   -19.830   -16.853
 (2 - 4)      6.846     0.000     5.358     8.334
 (2 - 5)      5.505     0.000     4.017     6.994
 (2 - 6)      8.426     0.000     6.938     9.915
 (2 - 7)      8.758     0.000     7.270    10.246
 (3 - 0)      9.210     0.000     7.722    10.698
 (3 - 1)     12.121     0.000    10.633    13.609
 (3 - 2)     18.341     0.000    16.853    19.830
 (3 - 4)     25.187     0.000    23.699    26.675
 (3 - 5)     23.847     0.000    22.359    25.335
 (3 - 6)     26.768     0.000    25.280    28.256
 (3 - 7)     27.100     0.000    25.612    28.588
 (4 - 0)    -15.977     0.000   -17.465   -14.489
 (4 - 1)    -13.066     0.000   -14.554   -11.578
 (4 - 2)     -6.846     0.000    -8.334    -5.358
 (4 - 3)    -25.187     0.000   -26.675   -23.699
 (4 - 5)     -1.340     0.114    -2.828     0.148
 (4 - 6)      1.581     0.028     0.093     3.069
 (4 - 7)      1.913     0.002     0.425     3.401
 (5 - 0)    -14.637     0.000   -16.125   -13.149
 (5 - 1)    -11.726     0.000   -13.214   -10.238
 (5 - 2)     -5.505     0.000    -6.994    -4.017
 (5 - 3)    -23.847     0.000   -25.335   -22.359
 (5 - 4)      1.340     0.114    -0.148     2.828
 (5 - 6)      2.921     0.000     1.433     4.409
 (5 - 7)      3.253     0.000     1.765     4.741
 (6 - 0)    -17.558     0.000   -19.046   -16.070
 (6 - 1)    -14.647     0.000   -16.135   -13.159
 (6 - 2)     -8.426     0.000    -9.915    -6.938
 (6 - 3)    -26.768     0.000   -28.256   -25.280
 (6 - 4)     -1.581     0.028    -3.069    -0.093
 (6 - 5)     -2.921     0.000    -4.409    -1.433
 (6 - 7)      0.332     0.998    -1.156     1.820
 (7 - 0)    -17.890     0.000   -19.378   -16.402
 (7 - 1)    -14.979     0.000   -16.467   -13.490
 (7 - 2)     -8.758     0.000   -10.246    -7.270
 (7 - 3)    -27.100     0.000   -28.588   -25.612
 (7 - 4)     -1.913     0.002    -3.401    -0.425
 (7 - 5)     -3.253     0.000    -4.741    -1.765
 (7 - 6)     -0.332     0.998    -1.820     1.156

3
499
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)     10.520     0.000     9.080    11.961
 (0 - 2)     13.797     0.000    12.357    15.238
 (0 - 3)     -7.624     0.000    -9.064    -6.183
 (0 - 4)     22.166     0.000    20.726    23.607
 (0 - 5)     20.390     0.000    18.950    21.831
 (0 - 6)     24.137     0.000    22.696    25.577
 (0 - 7)     24.595     0.000    23.154    26.035
 (1 - 0)    -10.520     0.000   -11.961    -9.080
 (1 - 2)      3.277     0.000     1.837     4.717
 (1 - 3)    -18.144     0.000   -19.584   -16.703
 (1 - 4)     11.646     0.000    10.206    13.087
 (1 - 5)      9.870     0.000     8.430    11.311
 (1 - 6)     13.616     0.000    12.176    15.057
 (1 - 7)     14.075     0.000    12.634    15.515
 (2 - 0)    -13.797     0.000   -15.238   -12.357
 (2 - 1)     -3.277     0.000    -4.717    -1.837
 (2 - 3)    -21.421     0.000   -22.861   -19.980
 (2 - 4)      8.369     0.000     6.929     9.810
 (2 - 5)      6.593     0.000     5.153     8.034
 (2 - 6)     10.340     0.000     8.899    11.780
 (2 - 7)     10.798     0.000     9.357    12.238
 (3 - 0)      7.624     0.000     6.183     9.064
 (3 - 1)     18.144     0.000    16.703    19.584
 (3 - 2)     21.421     0.000    19.980    22.861
 (3 - 4)     29.790     0.000    28.350    31.230
 (3 - 5)     28.014     0.000    26.573    29.454
 (3 - 6)     31.760     0.000    30.320    33.201
 (3 - 7)     32.218     0.000    30.778    33.659
 (4 - 0)    -22.166     0.000   -23.607   -20.726
 (4 - 1)    -11.646     0.000   -13.087   -10.206
 (4 - 2)     -8.369     0.000    -9.810    -6.929
 (4 - 3)    -29.790     0.000   -31.230   -28.350
 (4 - 5)     -1.776     0.005    -3.217    -0.336
 (4 - 6)      1.970     0.001     0.530     3.411
 (4 - 7)      2.428     0.000     0.988     3.869
 (5 - 0)    -20.390     0.000   -21.831   -18.950
 (5 - 1)     -9.870     0.000   -11.311    -8.430
 (5 - 2)     -6.593     0.000    -8.034    -5.153
 (5 - 3)    -28.014     0.000   -29.454   -26.573
 (5 - 4)      1.776     0.005     0.336     3.217
 (5 - 6)      3.746     0.000     2.306     5.187
 (5 - 7)      4.205     0.000     2.764     5.645
 (6 - 0)    -24.137     0.000   -25.577   -22.696
 (6 - 1)    -13.616     0.000   -15.057   -12.176
 (6 - 2)    -10.340     0.000   -11.780    -8.899
 (6 - 3)    -31.760     0.000   -33.201   -30.320
 (6 - 4)     -1.970     0.001    -3.411    -0.530
 (6 - 5)     -3.746     0.000    -5.187    -2.306
 (6 - 7)      0.458     0.979    -0.982     1.899
 (7 - 0)    -24.595     0.000   -26.035   -23.154
 (7 - 1)    -14.075     0.000   -15.515   -12.634
 (7 - 2)    -10.798     0.000   -12.238    -9.357
 (7 - 3)    -32.218     0.000   -33.659   -30.778
 (7 - 4)     -2.428     0.000    -3.869    -0.988
 (7 - 5)     -4.205     0.000    -5.645    -2.764
 (7 - 6)     -0.458     0.979    -1.899     0.982

3
749
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)     15.123     0.000    13.601    16.646
 (0 - 2)     16.763     0.000    15.241    18.286
 (0 - 3)     -6.906     0.000    -8.429    -5.384
 (0 - 4)     26.430     0.000    24.908    27.953
 (0 - 5)     24.490     0.000    22.968    26.013
 (0 - 6)     28.899     0.000    27.377    30.422
 (0 - 7)     29.516     0.000    27.994    31.039
 (1 - 0)    -15.123     0.000   -16.646   -13.601
 (1 - 2)      1.640     0.024     0.117     3.162
 (1 - 3)    -22.030     0.000   -23.552   -20.507
 (1 - 4)     11.307     0.000     9.784    12.829
 (1 - 5)      9.367     0.000     7.844    10.889
 (1 - 6)     13.776     0.000    12.253    15.298
 (1 - 7)     14.393     0.000    12.870    15.915
 (2 - 0)    -16.763     0.000   -18.286   -15.241
 (2 - 1)     -1.640     0.024    -3.162    -0.117
 (2 - 3)    -23.669     0.000   -25.192   -22.147
 (2 - 4)      9.667     0.000     8.145    11.189
 (2 - 5)      7.727     0.000     6.205     9.249
 (2 - 6)     12.136     0.000    10.614    13.658
 (2 - 7)     12.753     0.000    11.231    14.275
 (3 - 0)      6.906     0.000     5.384     8.429
 (3 - 1)     22.030     0.000    20.507    23.552
 (3 - 2)     23.669     0.000    22.147    25.192
 (3 - 4)     33.336     0.000    31.814    34.859
 (3 - 5)     31.396     0.000    29.874    32.919
 (3 - 6)     35.805     0.000    34.283    37.328
 (3 - 7)     36.422     0.000    34.900    37.945
 (4 - 0)    -26.430     0.000   -27.953   -24.908
 (4 - 1)    -11.307     0.000   -12.829    -9.784
 (4 - 2)     -9.667     0.000   -11.189    -8.145
 (4 - 3)    -33.336     0.000   -34.859   -31.814
 (4 - 5)     -1.940     0.003    -3.462    -0.418
 (4 - 6)      2.469     0.000     0.947     3.991
 (4 - 7)      3.086     0.000     1.564     4.608
 (5 - 0)    -24.490     0.000   -26.013   -22.968
 (5 - 1)     -9.367     0.000   -10.889    -7.844
 (5 - 2)     -7.727     0.000    -9.249    -6.205
 (5 - 3)    -31.396     0.000   -32.919   -29.874
 (5 - 4)      1.940     0.003     0.418     3.462
 (5 - 6)      4.409     0.000     2.887     5.931
 (5 - 7)      5.026     0.000     3.504     6.548
 (6 - 0)    -28.899     0.000   -30.422   -27.377
 (6 - 1)    -13.776     0.000   -15.298   -12.253
 (6 - 2)    -12.136     0.000   -13.658   -10.614
 (6 - 3)    -35.805     0.000   -37.328   -34.283
 (6 - 4)     -2.469     0.000    -3.991    -0.947
 (6 - 5)     -4.409     0.000    -5.931    -2.887
 (6 - 7)      0.617     0.924    -0.905     2.139
 (7 - 0)    -29.516     0.000   -31.039   -27.994
 (7 - 1)    -14.393     0.000   -15.915   -12.870
 (7 - 2)    -12.753     0.000   -14.275   -11.231
 (7 - 3)    -36.422     0.000   -37.945   -34.900
 (7 - 4)     -3.086     0.000    -4.608    -1.564
 (7 - 5)     -5.026     0.000    -6.548    -3.504
 (7 - 6)     -0.617     0.924    -2.139     0.905

3
999
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)     18.476     0.000    16.918    20.034
 (0 - 2)     18.988     0.000    17.430    20.546
 (0 - 3)     -7.150     0.000    -8.708    -5.592
 (0 - 4)     29.132     0.000    27.574    30.690
 (0 - 5)     27.244     0.000    25.686    28.802
 (0 - 6)     32.610     0.000    31.052    34.168
 (0 - 7)     33.072     0.000    31.514    34.630
 (1 - 0)    -18.476     0.000   -20.034   -16.918
 (1 - 2)      0.512     0.975    -1.046     2.070
 (1 - 3)    -25.626     0.000   -27.184   -24.068
 (1 - 4)     10.656     0.000     9.098    12.214
 (1 - 5)      8.768     0.000     7.210    10.326
 (1 - 6)     14.134     0.000    12.576    15.692
 (1 - 7)     14.596     0.000    13.038    16.153
 (2 - 0)    -18.988     0.000   -20.546   -17.430
 (2 - 1)     -0.512     0.975    -2.070     1.046
 (2 - 3)    -26.138     0.000   -27.696   -24.580
 (2 - 4)     10.144     0.000     8.586    11.702
 (2 - 5)      8.256     0.000     6.698     9.814
 (2 - 6)     13.622     0.000    12.064    15.180
 (2 - 7)     14.084     0.000    12.526    15.642
 (3 - 0)      7.150     0.000     5.592     8.708
 (3 - 1)     25.626     0.000    24.068    27.184
 (3 - 2)     26.138     0.000    24.580    27.696
 (3 - 4)     36.282     0.000    34.724    37.840
 (3 - 5)     34.394     0.000    32.836    35.952
 (3 - 6)     39.760     0.000    38.202    41.318
 (3 - 7)     40.222     0.000    38.664    41.780
 (4 - 0)    -29.132     0.000   -30.690   -27.574
 (4 - 1)    -10.656     0.000   -12.214    -9.098
 (4 - 2)    -10.144     0.000   -11.702    -8.586
 (4 - 3)    -36.282     0.000   -37.840   -34.724
 (4 - 5)     -1.888     0.006    -3.446    -0.330
 (4 - 6)      3.478     0.000     1.920     5.036
 (4 - 7)      3.940     0.000     2.382     5.498
 (5 - 0)    -27.244     0.000   -28.802   -25.686
 (5 - 1)     -8.768     0.000   -10.326    -7.210
 (5 - 2)     -8.256     0.000    -9.814    -6.698
 (5 - 3)    -34.394     0.000   -35.952   -32.836
 (5 - 4)      1.888     0.006     0.330     3.446
 (5 - 6)      5.366     0.000     3.808     6.924
 (5 - 7)      5.828     0.000     4.270     7.386
 (6 - 0)    -32.610     0.000   -34.168   -31.052
 (6 - 1)    -14.134     0.000   -15.692   -12.576
 (6 - 2)    -13.622     0.000   -15.180   -12.064
 (6 - 3)    -39.760     0.000   -41.318   -38.202
 (6 - 4)     -3.478     0.000    -5.036    -1.920
 (6 - 5)     -5.366     0.000    -6.924    -3.808
 (6 - 7)      0.462     0.986    -1.096     2.020
 (7 - 0)    -33.072     0.000   -34.630   -31.514
