0
49
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 2)     11.038     0.000     9.836    12.240
 (0 - 3)      4.709     0.000     3.507     5.911
 (0 - 4)     13.814     0.000    12.612    15.016
 (0 - 5)     13.621     0.000    12.419    14.823
 (0 - 6)     14.649     0.000    13.447    15.851
 (0 - 7)     14.905     0.000    13.703    16.107
 (1 - 0)    -11.391     0.000   -12.593   -10.189
 (1 - 2)     -0.353     0.987    -1.555     0.849
 (1 - 3)     -6.682     0.000    -7.884    -5.480
 (1 - 4)      2.423     0.000     1.221     3.625
 (1 - 5)      2.230     0.000     1.028     3.432
 (1 - 6)      3.259     0.000     2.057     4.460
 (1 - 7)      3.514     0.000     2.312     4.716
 (2 - 0)    -11.038     0.000   -12.240    -9.836
 (2 - 1)      0.353     0.987    -0.849     1.555
 (2 - 3)     -6.328     0.000    -7.530    -5.126
 (2 - 4)      2.776     0.000     1.574     3.978
 (2 - 5)      2.583     0.000     1.381     3.785
 (2 - 6)      3.612     0.000     2.410     4.814
 (2 - 7)      3.867     0.000     2.665     5.069
 (3 - 0)     -4.709     0.000    -5.911    -3.507
 (3 - 1)      6.682     0.000     5.480     7.884
 (3 - 2)      6.328     0.000     5.126     7.530
 (3 - 4)      9.105     0.000     7.903    10.306
 (3 - 5)      8.912     0.000     7.710    10.114
 (3 - 6)      9.940     0.000     8.738    11.142
 (3 - 7)     10.195     0.000     8.993    11.397
 (4 - 0)    -13.814     0.000   -15.016   -12.612
 (4 - 1)     -2.423     0.000    -3.625    -1.221
 (4 - 2)     -2.776     0.000    -3.978    -1.574
 (4 - 3)     -9.105     0.000   -10.306    -7.903
 (4 - 5)     -0.193     1.000    -1.395     1.009
 (4 - 6)      0.836     0.410    -0.366     2.038
 (4 - 7)      1.091     0.108    -0.111     2.293
 (5 - 0)    -13.621     0.000   -14.823   -12.419
 (5 - 1)     -2.230     0.000    -3.432    -1.028
 (5 - 2)     -2.583     0.000    -3.785    -1.381
 (5 - 3)     -8.912     0.000   -10.114    -7.710
 (5 - 4)      0.193     1.000    -1.009     1.395
 (5 - 6)      1.028     0.158    -0.174     2.230
 (5 - 7)      1.284     0.027     0.082     2.486
 (6 - 0)    -14.649     0.000   -15.851   -13.447
 (6 - 1)     -3.259     0.000    -4.460    -2.057
 (6 - 2)     -3.612     0.000    -4.814    -2.410
 (6 - 3)     -9.940     0.000   -11.142    -8.738
 (6 - 4)     -0.836     0.410    -2.038     0.366
 (6 - 5)     -1.028     0.158    -2.230     0.174
 (6 - 7)      0.255     0.998    -0.947     1.457
 (7 - 0)    -14.905     0.000   -16.107   -13.703
 (7 - 1)     -3.514     0.000    -4.716    -2.312
 (7 - 2)     -3.867     0.000    -5.069    -2.665
 (7 - 3)    -10.195     0.000   -11.397    -8.993
 (7 - 4)     -1.091     0.108    -2.293     0.111
 (7 - 5)     -1.284     0.027    -2.486    -0.082
 (7 - 6)     -0.255     0.998    -1.457     0.947

1
49
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)     -3.195     0.000    -4.237    -2.153
 (0 - 2)      0.862     0.192    -0.180     1.904
 (0 - 3)     -2.413     0.000    -3.455    -1.371
 (0 - 4)      2.340     0.000     1.298     3.382
 (0 - 5)      2.278     0.000     1.236     3.320
 (0 - 6)      2.662     0.000     1.621     3.704
 (0 - 7)      2.782     0.000     1.740     3.823
 (1 - 0)      3.195     0.000     2.153     4.237
 (1 - 2)      4.057     0.000     3.015     5.099
 (1 - 3)      0.782     0.307    -0.260     1.824
 (1 - 4)      5.535     0.000     4.494     6.577
 (1 - 5)      5.473     0.000     4.432     6.515
 (1 - 6)      5.858     0.000     4.816     6.899
 (1 - 7)      5.977     0.000     4.935     7.018
 (2 - 0)     -0.862     0.192    -1.904     0.180
 (2 - 1)     -4.057     0.000    -5.099    -3.015
 (2 - 3)     -3.275     0.000    -4.317    -2.233
 (2 - 4)      1.478     0.000     0.436     2.520
 (2 - 5)      1.416     0.001     0.374     2.458
 (2 - 6)      1.800     0.000     0.759     2.842
 (2 - 7)      1.920     0.000     0.878     2.961
 (3 - 0)      2.413     0.000     1.371     3.455
 (3 - 1)     -0.782     0.307    -1.824     0.260
 (3 - 2)      3.275     0.000     2.233     4.317
 (3 - 4)      4.753     0.000     3.711     5.795
 (3 - 5)      4.691     0.000     3.650     5.733
 (3 - 6)      5.075     0.000     4.034     6.117
 (3 - 7)      5.195     0.000     4.153     6.236
 (4 - 0)     -2.340     0.000    -3.382    -1.298
 (4 - 1)     -5.535     0.000    -6.577    -4.494
 (4 - 2)     -1.478     0.000    -2.520    -0.436
 (4 - 3)     -4.753     0.000    -5.795    -3.711
 (4 - 5)     -0.062     1.000    -1.104     0.980
 (4 - 6)      0.322     0.982    -0.719     1.364
 (4 - 7)      0.442     0.905    -0.600     1.483
 (5 - 0)     -2.278     0.000    -3.320    -1.236
 (5 - 1)     -5.473     0.000    -6.515    -4.432
 (5 - 2)     -1.416     0.001    -2.458    -0.374
 (5 - 3)     -4.691     0.000    -5.733    -3.650
 (5 - 4)      0.062     1.000    -0.980     1.104
 (5 - 6)      0.384     0.953    -0.657     1.426
 (5 - 7)      0.503     0.826    -0.538     1.545
 (6 - 0)     -2.662     0.000    -3.704    -1.621
 (6 - 1)     -5.858     0.000    -6.899    -4.816
 (6 - 2)     -1.800     0.000    -2.842    -0.759
 (6 - 3)     -5.075     0.000    -6.117    -4.034
 (6 - 4)     -0.322     0.982    -1.364     0.719
 (6 - 5)     -0.384     0.953    -1.426     0.657
 (6 - 7)      0.119     1.000    -0.923     1.161
 (7 - 0)     -2.782     0.000    -3.823    -1.740
 (7 - 1)     -5.977     0.000    -7.018    -4.935
 (7 - 2)     -1.920     0.000    -2.961    -0.878
 (7 - 3)     -5.195     0.000    -6.236    -4.153
 (7 - 4)     -0.442     0.905    -1.483     0.600
 (7 - 5)     -0.503     0.826    -1.545     0.538
 (7 - 6)     -0.119     1.000    -1.161     0.923

1
149
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)      4.273     0.000     3.176     5.369
 (0 - 2)      5.445     0.000     4.349     6.541
 (0 - 3)     -0.633     0.654    -1.729     0.463
 (0 - 4)      8.270     0.000     7.174     9.366
 (0 - 5)      7.797     0.000     6.701     8.894
 (0 - 6)      8.650     0.000     7.553     9.746
 (0 - 7)      8.655     0.000     7.559     9.752
 (1 - 0)     -4.273     0.000    -5.369    -3.176
 (1 - 2)      1.172     0.026     0.076     2.269
 (1 - 3)     -4.906     0.000    -6.002    -3.809
 (1 - 4)      3.997     0.000     2.901     5.094
 (1 - 5)      3.525     0.000     2.428     4.621
 (1 - 6)      4.377     0.000     3.281     5.473
 (1 - 7)      4.383     0.000     3.286     5.479
 (2 - 0)     -5.445     0.000    -6.541    -4.349
 (2 - 1)     -1.172     0.026    -2.269    -0.076
 (2 - 3)     -6.078     0.000    -7.174    -4.982
 (2 - 4)      2.825     0.000     1.728     3.921
 (2 - 5)      2.352     0.000     1.256     3.449
 (2 - 6)      3.204     0.000     2.108     4.301
 (2 - 7)      3.210     0.000     2.114     4.307
 (3 - 0)      0.633     0.654    -0.463     1.729
 (3 - 1)      4.906     0.000     3.809     6.002
 (3 - 2)      6.078     0.000     4.982     7.174
 (3 - 4)      8.903     0.000     7.807     9.999
 (3 - 5)      8.430     0.000     7.334     9.527
 (3 - 6)      9.283     0.000     8.186    10.379
 (3 - 7)      9.288     0.000     8.192    10.385
 (4 - 0)     -8.270     0.000    -9.366    -7.174
 (4 - 1)     -3.997     0.000    -5.094    -2.901
 (4 - 2)     -2.825     0.000    -3.921    -1.728
 (4 - 3)     -8.903     0.000    -9.999    -7.807
 (4 - 5)     -0.473     0.897    -1.569     0.624
 (4 - 6)      0.380     0.967    -0.717     1.476
 (4 - 7)      0.385     0.964    -0.711     1.482
 (5 - 0)     -7.797     0.000    -8.894    -6.701
 (5 - 1)     -3.525     0.000    -4.621    -2.428
 (5 - 2)     -2.352     0.000    -3.449    -1.256
 (5 - 3)     -8.430     0.000    -9.527    -7.334
 (5 - 4)      0.473     0.897    -0.624     1.569
 (5 - 6)      0.852     0.263    -0.244     1.949
 (5 - 7)      0.858     0.255    -0.238     1.954
 (6 - 0)     -8.650     0.000    -9.746    -7.553
 (6 - 1)     -4.377     0.000    -5.473    -3.281
 (6 - 2)     -3.204     0.000    -4.301    -2.108
 (6 - 3)     -9.283     0.000   -10.379    -8.186
 (6 - 4)     -0.380     0.967    -1.476     0.717
 (6 - 5)     -0.852     0.263    -1.949     0.244
 (6 - 7)      0.006     1.000    -1.091     1.102
 (7 - 0)     -8.655     0.000    -9.752    -7.559
 (7 - 1)     -4.383     0.000    -5.479    -3.286
 (7 - 2)     -3.210     0.000    -4.307    -2.114
 (7 - 3)     -9.288     0.000   -10.385    -8.192
 (7 - 4)     -0.385     0.964    -1.482     0.711
 (7 - 5)     -0.858     0.255    -1.954     0.238
 (7 - 6)     -0.006     1.000    -1.102     1.091

1
249
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)      7.853     0.000     6.721     8.985
 (0 - 2)      8.442     0.000     7.310     9.574
 (0 - 3)      0.453     0.929    -0.679     1.585
 (0 - 4)     12.191     0.000    11.059    13.323
 (0 - 5)     11.531     0.000    10.399    12.663
 (0 - 6)     12.861     0.000    11.729    13.993
 (0 - 7)     12.940     0.000    11.808    14.072
 (1 - 0)     -7.853     0.000    -8.985    -6.721
 (1 - 2)      0.589     0.764    -0.543     1.721
 (1 - 3)     -7.401     0.000    -8.533    -6.269
 (1 - 4)      4.337     0.000     3.205     5.469
 (1 - 5)      3.678     0.000     2.546     4.810
 (1 - 6)      5.007     0.000     3.875     6.139
 (1 - 7)      5.087     0.000     3.955     6.219
 (2 - 0)     -8.442     0.000    -9.574    -7.310
 (2 - 1)     -0.589     0.764    -1.721     0.543
 (2 - 3)     -7.990     0.000    -9.122    -6.858
 (2 - 4)      3.748     0.000     2.616     4.880
 (2 - 5)      3.089     0.000     1.957     4.221
 (2 - 6)      4.418     0.000     3.286     5.550
 (2 - 7)      4.498     0.000     3.366     5.630
 (3 - 0)     -0.453     0.929    -1.585     0.679
 (3 - 1)      7.401     0.000     6.269     8.533
 (3 - 2)      7.990     0.000     6.858     9.122
 (3 - 4)     11.738     0.000    10.606    12.870
